iter	RMSEWithUncertainty
0	2.122102996
1	2.088425806
2	2.054845706
3	2.021995068
4	1.996331467
5	1.976153648
6	1.964329704
7	1.945012951
8	1.929729897
9	1.907703603
10	1.896109264
11	1.878035363
12	1.859535268
13	1.846665175
14	1.837112608
15	1.825408431
16	1.810058843
17	1.795573213
18	1.785320068
19	1.773350448
20	1.761426486
21	1.750128146
22	1.741274493
23	1.732844636
24	1.72390938
25	1.715301247
26	1.708343683
27	1.702113821
28	1.696157744
29	1.688604349
30	1.682170532
31	1.676202556
32	1.67048392
33	1.664899314
34	1.659602434
35	1.652595958
36	1.647130917
37	1.642700339
38	1.638217775
39	1.632563778
40	1.6289753
41	1.626553583
42	1.621362061
43	1.616089073
44	1.610826756
45	1.604683719
46	1.599127275
47	1.592995979
48	1.587541192
49	1.584366146
50	1.57842383
51	1.57457325
52	1.570877803
53	1.565856434
54	1.563408167
55	1.558262931
56	1.552409804
57	1.548876261
58	1.544788226
59	1.541107094
60	1.53634888
61	1.532210939
62	1.529508933
63	1.523693875
64	1.517671566
65	1.511492712
66	1.50928047
67	1.505004031
68	1.500410137
69	1.494850053
70	1.490910897
71	1.486973565
72	1.481225081
73	1.478383588
74	1.476619855
75	1.473159569
76	1.470200065
77	1.468271877
78	1.465129691
79	1.459595788
80	1.456270928
81	1.452776669
82	1.447729669
83	1.445794395
84	1.443008554
85	1.437698619
86	1.435985352
87	1.431218774
88	1.427315041
89	1.424792998
90	1.420542045
91	1.41820604
92	1.41560795
93	1.410584796
94	1.407866281
95	1.405685882
96	1.403574813
97	1.400555645
98	1.3973262
99	1.394767987
100	1.389320736
101	1.388214798
102	1.386888575
103	1.382301442
104	1.38030789
105	1.377626162
106	1.37359058
107	1.370978731
108	1.367467586
109	1.362760815
110	1.358389793
111	1.356637325
112	1.35306095
113	1.351429486
114	1.346746928
115	1.342624798
116	1.339350718
117	1.336381078
118	1.33066289
119	1.327772725
120	1.325360119
121	1.323567754
122	1.319880384
123	1.317957482
124	1.314574011
125	1.311368785
126	1.309671729
127	1.308187065
128	1.306083381
129	1.304067436
130	1.301237638
131	1.299308312
132	1.296746805
133	1.294794894
134	1.291933026
135	1.288728725
136	1.287865126
137	1.2845673
138	1.283200054
139	1.281465289
140	1.279692419
141	1.276359124
142	1.27435522
143	1.273221064
144	1.270755649
145	1.268399937
146	1.266434421
147	1.26523714
148	1.264073966
149	1.258872926
150	1.255254739
151	1.253712193
152	1.252474657
153	1.251163557
154	1.250253923
155	1.247659222
156	1.246189428
157	1.242995057
158	1.241333102
159	1.23936388
160	1.237500981
161	1.23471383
162	1.232293873
163	1.231273375
164	1.23015085
165	1.22909476
166	1.227451856
167	1.226467509
168	1.225885672
169	1.224748497
170	1.222236646
171	1.220569354
172	1.219356676
173	1.215858543
174	1.213245839
175	1.212184012
176	1.210687901
177	1.20876275
178	1.207435197
179	1.205939146
180	1.204438556
181	1.203367801
182	1.200302772
183	1.197495269
184	1.196755001
185	1.195101873
186	1.19421156
187	1.192731032
188	1.19105678
189	1.189517237
190	1.187580907
191	1.18545906
192	1.184505633
193	1.182800385
194	1.18137496
195	1.179637185
196	1.178647328
197	1.177531817
198	1.176888663
199	1.17608286
