iter	Passed	Remaining
0	0	58
1	0	56
2	1	55
3	1	54
4	2	53
5	2	54
6	3	53
7	3	53
8	4	53
9	4	52
10	5	52
11	5	51
12	6	51
13	6	50
14	7	50
15	7	49
16	8	49
17	8	49
18	9	48
19	9	48
20	10	47
21	10	47
22	11	46
23	11	46
24	12	45
25	12	45
26	12	44
27	13	44
28	13	43
29	14	43
30	14	42
31	15	42
32	15	41
33	16	41
34	16	40
35	17	40
36	17	40
37	18	39
38	18	39
39	19	38
40	19	38
41	20	37
42	20	37
43	21	36
44	21	36
45	22	35
46	22	35
47	23	34
48	23	34
49	24	33
50	24	33
51	25	32
52	25	32
53	26	31
54	26	31
55	27	31
56	27	30
57	28	30
58	28	29
59	29	29
60	29	28
61	30	28
62	30	27
63	31	27
64	31	26
65	32	26
66	32	25
67	33	25
68	33	24
69	34	24
70	34	23
71	35	23
72	35	22
73	36	22
74	36	21
75	37	21
76	37	21
77	38	20
78	38	20
79	39	19
80	39	19
81	40	18
82	40	18
83	41	17
84	41	17
85	42	16
86	42	16
87	43	15
88	43	15
89	44	14
90	44	14
91	45	13
92	45	13
93	45	12
94	46	12
95	46	11
96	47	11
97	47	10
98	48	10
99	48	9
100	49	9
101	49	8
102	50	8
103	50	7
104	51	7
105	51	6
106	52	6
107	52	5
108	53	5
109	53	4
110	54	4
111	54	3
112	55	3
113	55	2
114	56	2
115	56	1
116	57	1
117	57	0
118	58	0
119	58	0
